Today's	today	Today's
schedule	schedul	schedule
.	.	.

College	colleg	College
basketball	basketbal	basketball
:	:	:
MEN	men	MEN
Boston	boston	Boston
University	univers	University
at	at	at
Harvard,	harvard,	Harvard,
7	7	7
p	p	p
.	.	.
m	m	m
.;	.;	.;
Wesleyan	wesleyan	Wesleyan
at	at	at
Emmanuel,	emmanuel,	Emmanuel,
7	7	7
p	p	p
.	.	.
m	m	m
.;	.;	.;
Emerson	emerson	Emerson
at	at	at
Babson,	babson,	Babson,
7	7	7
p	p	p
.	.	.
m	m	m
.;	.;	.;
Plymouth	plymouth	Plymouth
St.	st.	St.
at	at	at
Tufts,	tufts,	Tufts,
7	7	7
p	p	p
.	.	.
m	m	m
.;	.;	.;
Newbury	newburi	Newbury
at	at	at
Salem	salem	Salem
St.	st.	St.
,	,	,
7	7	7
p	p	p
.	.	.
m	m	m
.;	.;	.;
Merrimack	merrimack	Merrimack
at	at	at
Bentley,	bentley,	Bentley,
7:30 p.m.	7:30 p.m.	7:30 p.m.
;	;	;
Curry	curri	Curry
at	at	at
Eastern	eastern	Eastern
Nazarene,	nazarene,	Nazarene,
8	8	8
p	p	p
.	.	.
m	m	m
.;	.;	.;
Clark	clark	Clark
at	at	at
Brandeis,	brandeis,	Brandeis,
8	8	8
p	p	p
.	.	.
m	m	m
.;	.;	.;
Endicott	endicott	Endicott
at	at	at
Gordon,	gordon,	Gordon,
8	8	8
p	p	p
.	.	.
m	m	m
.;	.;	.;
WOMEN	women	WOMEN
Becker	becker	Becker
at	at	at
Emerson,	emerson,	Emerson,
6	6	6
p	p	p
.	.	.
m	m	m
.;	.;	.;
...	...	...

