Today's	today	Today's
schedule	schedul	schedule
.	.	.

College	colleg	College
basketball	basketbal	basketball
:	:	:
Men	men	Men
Becker	becker	Becker
at	at	at
Fitchburg	fitchburg	Fitchburg
St.	st.	St.
,	,	,
1	1	1
p	p	p
.	.	.
m	m	m
.;	.;	.;
Daniel	daniel	Daniel
Webster	webster	Webster
at	at	at
WNEC,	wnec,	WNEC,
1	1	1
p	p	p
.	.	.
m	m	m
.;	.;	.;
Long	long	Long
Island	island	Island
at	at	at
Hartford,	hartford,	Hartford,
2	2	2
p	p	p
.	.	.
m	m	m
.;	.;	.;
Framingham	framingham	Framingham
St.	st.	St.
at	at	at
WPI,	wpi,	WPI,
2	2	2
p	p	p
.	.	.
m	m	m
.;	.;	.;
Colby	colbi	Colby
-	-	-
Sawyer	sawyer	Sawyer
at	at	at
Amherst,	amherst,	Amherst,
2	2	2
p	p	p
.	.	.
m	m	m
.;	.;	.;
UMass	umass	UMass
-	-	-
Lowell	lowel	Lowell
at	at	at
Southern	southern	Southern
N.H.	n.h.	N.H.
,	,	,
2	2	2
p	p	p
.	.	.
m	m	m
.;	.;	.;
Keene	keen	Keene
St.	st.	St.
at	at	at
UMass	umass	UMass
-	-	-
Boston,	boston,	Boston,
3	3	3
p	p	p
.	.	.
m	m	m
.;	.;	.;
Mass	mass	Mass
.	.	.

College	colleg	College
at	at	at
Eastern	eastern	Eastern
Nazarene,	nazarene,	Nazarene,
3	3	3
p	p	p
.	.	.
m	m	m
.;	.;	.;
Elms	elm	Elms
at	at	at
Lasell,	lasell,	Lasell,
3	3	3
p	p	p
.	.	.
m	m	m
.;	.;	.;
Bridgewater	bridgewat	Bridgewater
St.	st.	St.
at	at	at
...	...	...

